종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
247540,에코프로비엠,110300.0,107907.0,,컨센서스 없음 → 산출불가,1,코스닥,1.48,2차전지·에너지,소재,에코프로비엠,,보류,컨센서스 없음,,2026-09-13
005940,NH투자증권,26300.0,97101.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.45,금융,증권,NH투자증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
006360,GS건설,38500.0,32949.0,,컨센서스 없음 → 산출불가,1,코스피,1.45,로봇·산업재,플랜트·건설,GS건설,,보류,컨센서스 없음,,2026-09-13
161890,한국콜마,141300.0,33354.0,,컨센서스 없음 → 산출불가,1,K컬처,1.43,미분류,-,한국콜마,,보류,컨센서스 없음,,2026-09-13
051910,LG화학,273000.0,192717.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,1.41,2차전지·에너지,소재,LG화학,,보류,컨센서스 없음,,2026-09-13
267260,HD현대일렉트릭,747000.0,269272.0,,컨센서스 없음 → 산출불가,1,코리아밸류업,1.4,AI·전력인프라,변압기·전력기기,HD현대일렉트릭,,보류,컨센서스 없음,,2026-09-13
010140,삼성중공업,21400.0,188320.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,1.37,조선·방산·우주,조선,삼성중공업,,보류,컨센서스 없음,,2026-09-13
950260,인제니아테라퓨틱스(Reg.S),15450.0,7639.0,,컨센서스 없음 → 산출불가,1,K바이오,1.37,미분류,-,인제니아테라퓨틱스(Reg.S),,보류,컨센서스 없음,,2026-09-13
059090,미코,20600.0,6884.0,,컨센서스 없음 → 산출불가,1,코스닥,1.33,반도체,소재·부품,미코,,보류,컨센서스 없음,,2026-09-13
140860,파크시스템스,252000.0,17646.0,,컨센서스 없음 → 산출불가,1,코스닥,1.26,반도체,검사·계측,파크시스템스,,보류,컨센서스 없음,,2026-09-13
175330,JB금융지주,31750.0,59221.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.24,금융,은행,JB금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
003470,유안타증권,4780.0,9210.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,1.22,금융,증권,유안타증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
356860,티엘비,37900.0,8983.0,,컨센서스 없음 → 산출불가,1,코스닥,1.19,반도체,기판·PCB,티엘비,,보류,컨센서스 없음,,2026-09-13
389470,인벤티지랩,25300.0,3367.0,,컨센서스 없음 → 산출불가,1,K바이오,1.19,바이오·헬스케어,신약·플랫폼,인벤티지랩,,보류,컨센서스 없음,,2026-09-13
253450,스튜디오드래곤,21450.0,6448.0,,컨센서스 없음 → 산출불가,1,K컬처,1.15,엔터·게임·콘텐츠,미디어·콘텐츠,스튜디오드래곤,,보류,컨센서스 없음,,2026-09-13
483650,달바글로벌,167600.0,20993.0,,컨센서스 없음 → 산출불가,1,K컬처,1.11,화장품·뷰티,브랜드·디바이스,달바글로벌,,보류,컨센서스 없음,,2026-09-13
082920,비츠로셀,27800.0,12549.0,,컨센서스 없음 → 산출불가,1,코스닥,1.07,2차전지·에너지,셀,비츠로셀,,보류,컨센서스 없음,,2026-09-13
100790,미래에셋벤처투자,15960.0,8478.0,,컨센서스 없음 → 산출불가,1,코스닥,0.95,금융,증권,미래에셋벤처투자,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
088350,한화생명,5990.0,52025.0,,컨센서스 없음 → 산출불가,1,코스피,0.92,미분류,-,한화생명,,보류,컨센서스 없음,,2026-09-13
005387,현대차2우B,180500.0,63110.0,,컨센서스 없음 → 산출불가,1,Korea플러스배당,0.91,자동차,완성차,현대차2우B,,보류,컨센서스 없음,,2026-09-13
124500,아이티센글로벌,32100.0,7449.0,,컨센서스 없음 → 산출불가,1,코스닥,0.91,미분류,-,아이티센글로벌,,보류,컨센서스 없음,,2026-09-13
171090,선익시스템,66000.0,6684.0,,컨센서스 없음 → 산출불가,1,코스닥,0.9,미분류,-,선익시스템,,보류,컨센서스 없음,,2026-09-13
329180,HD현대중공업,479000.0,502764.0,,컨센서스 없음 → 산출불가,1,코스피,0.87,조선·방산·우주,조선,HD현대중공업,,보류,컨센서스 없음,,2026-09-13
393890,더블유씨피,10030.0,3394.0,,컨센서스 없음 → 산출불가,1,코스닥,0.86,2차전지·에너지,소재,더블유씨피,,보류,컨센서스 없음,,2026-09-13
