종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
100790,미래에셋벤처투자,실패: 기업실적분석 표 없음,1,코스닥,0.95,금융,증권,미래에셋벤처투자,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
088350,한화생명,실패: 기업실적분석 표 없음,1,코스피,0.92,미분류,-,한화생명,,보류,컨센서스 없음,,2026-09-11
005387,현대차2우B,실패: 기업실적분석 표 없음,1,Korea플러스배당,0.91,자동차,완성차,현대차2우B,,보류,컨센서스 없음,,2026-09-11
124500,아이티센글로벌,실패: 기업실적분석 표 없음,1,코스닥,0.91,미분류,-,아이티센글로벌,,보류,컨센서스 없음,,2026-09-11
171090,선익시스템,실패: 기업실적분석 표 없음,1,코스닥,0.9,미분류,-,선익시스템,,보류,컨센서스 없음,,2026-09-11
329180,HD현대중공업,실패: 기업실적분석 표 없음,1,코스피,0.87,조선·방산·우주,조선,HD현대중공업,,보류,컨센서스 없음,,2026-09-11
393890,더블유씨피,실패: 기업실적분석 표 없음,1,코스닥,0.86,2차전지·에너지,소재,더블유씨피,,보류,컨센서스 없음,,2026-09-11
033790,피노,실패: 기업실적분석 표 없음,1,코스닥,0.8,미분류,-,피노,,보류,컨센서스 없음,,2026-09-11
440110,파두,실패: 기업실적분석 표 없음,1,코스닥,0.8,반도체,팹리스,파두,,보류,컨센서스 없음,,2026-09-11
420770,기가비스,실패: 기업실적분석 표 없음,1,코스닥,0.76,반도체,검사·계측,기가비스,,보류,컨센서스 없음,,2026-09-11
397030,에이프릴바이오,실패: 기업실적분석 표 없음,1,K바이오,0.75,바이오·헬스케어,신약·플랫폼,에이프릴바이오,,보류,컨센서스 없음,,2026-09-11
417200,LS머트리얼즈,실패: 기업실적분석 표 없음,1,코스닥,0.75,AI·전력인프라,전선·케이블,LS머트리얼즈,,보류,컨센서스 없음,,2026-09-11
011070,LG이노텍,실패: 기업실적분석 표 없음,1,코리아밸류업,0.7,반도체,전자부품,LG이노텍,,보류,컨센서스 없음,,2026-09-11
000990,DB하이텍,실패: 기업실적분석 표 없음,1,코리아밸류업,0.69,미분류,-,DB하이텍,,보류,컨센서스 없음,,2026-09-11
295310,에이치브이엠,실패: 기업실적분석 표 없음,1,코스닥,0.65,반도체,소재·부품,에이치브이엠,,보류,컨센서스 없음,,2026-09-11
